fb_subp1_read_sectors,Elements/Thread,num_fields,Total FP/Block,Actual GFlop/s,Device GFlop/s,l1_global_load_hit,Global Loads/Block,phase3_shared_loads,Dimensions,phase2_global_loads,phase2_shared_loads,EventElapsed,Time Steps,Shared Size,Num Blocks Z,Num Blocks X,Num Blocks Y,Real Per Block X,Real Per Block Y,l1_global_load_miss,data_size,Register Usage,phase4_global_stores,phase_limit,Padded Size,Useful FP/Block,Shared Stores/Block,Global Stores/Block,Time Tile Size,fb_subp0_read_sectors,compute_per_point,Block Size Z,Block Size X,Block Size Y,Useful Ratio,Elapsed Time,ProfileTimerResolution,Shared Loads/Block,Real Size,shared_stores,
7302471.062500,2,1,5120,46.1291,62.9816,878197.750000,2560,5,2,5,0,0.249665,64,2640,1,96,1000,62,6,206548.968750,4,19,1,0,6004,3720,512,512,2,7303806.437500,5,1,64,4,0.726562,0.249734,1000,2560,6000,1,
7341510.718750,2,1,7680,48.2279,59.2625,799316.656250,3840,5,2,5,0,0.238801,64,3696,1,96,600,62,10,176753.968750,4,19,1,0,6004,6200,768,768,2,7342114.000000,5,1,64,6,0.807292,0.238866,1000,3840,6000,1,
7261523.750000,2,1,10240,52.3517,61.1848,753901.000000,5120,5,2,5,0,0.219987,64,4752,1,96,428,62,14,174523.406250,4,19,1,0,6004,8680,1024,1024,2,7261751.500000,5,1,64,8,0.847656,0.22005,1000,5120,6000,1,
7255624.531250,2,1,12800,52.1914,59.3228,719073.906250,6400,5,2,5,0,0.220655,64,5808,1,96,333,62,18,185115.031250,4,19,1,0,6004,11160,1280,1280,2,7255812.750000,5,1,64,10,0.871875,0.220726,1000,6400,6000,1,
7213713.906250,2,1,15360,54.089,60.2612,692738.531250,7680,5,2,5,0,0.21292,64,6864,1,96,272,62,22,192431.468750,4,19,1,0,6004,13640,1536,1536,2,7213782.687500,5,1,64,12,0.888021,0.212982,1000,7680,6000,1,
7293251.937500,2,1,7680,44.1821,59.3807,884340.656250,3840,5,2,5,0,0.260674,64,3920,1,63,1000,94,6,182769.031250,4,19,1,0,6004,5640,768,768,2,7295091.187500,5,1,96,4,0.734375,0.260739,1000,3840,6000,1,
7324490.406250,2,1,11520,48.7768,59.0004,794959.281250,5760,5,2,5,0,0.236111,64,5488,1,63,600,94,10,166823.000000,4,19,1,0,6004,9400,1152,1152,2,7325694.687500,5,1,96,6,0.815972,0.236178,1000,5760,6000,1,
7261477.343750,2,1,15360,53.1659,61.1655,740897.843750,7680,5,2,5,0,0.216609,64,7056,1,63,428,94,14,173868.781250,4,19,1,0,6004,13160,1536,1536,2,7262351.750000,5,1,96,8,0.856771,0.21668,1000,7680,6000,1,
7220622.406250,2,1,19200,39.55,44.2517,695682.625000,9600,5,2,5,0,0.291213,64,8624,1,63,333,94,18,192645.937500,4,19,1,0,6004,16920,1920,1920,2,7219828.500000,5,1,96,10,0.88125,0.291277,1000,9600,6000,1,
7297951.562500,2,1,10240,47.1749,63.0676,887016.656250,5120,5,2,5,0,0.244131,64,5200,1,47,1000,126,6,174830.968750,4,19,1,0,6004,7560,1024,1024,2,7298571.000000,5,1,128,4,0.738281,0.244198,1000,5120,6000,1,
7332411.687500,2,1,15360,51.8734,62.4141,789206.312500,7680,5,2,5,0,0.222013,64,7280,1,47,600,126,10,166736.781250,4,19,1,0,6004,12600,1536,1536,2,7332403.968750,5,1,128,6,0.820312,0.222079,1000,7680,6000,1,
7173143.593750,2,1,20480,39.1356,44.9055,744100.406250,10240,5,2,5,0,0.293514,64,9360,1,47,428,126,14,164391.781250,4,19,1,0,5996,17640,2048,2048,2,7175301.093750,5,1,128,8,0.861328,0.293577,1000,10240,5992,1,
